field,source_file,source_key,data_status
accepted_for_scientific_aggregate,metadata/critical_evidence_gate.json,scientifically_complete,available_in_all_cases
acquisition_failures,manifest.json,"artifacts[type in {memory_lime,network_pcap,disk_raw}]",available_in_all_cases
acquisition_order_valid,metadata/normalized_causal_timestamps.json,memory_start ≤ network_start ≤ disk_start,available_in_all_cases
alert_observed,metadata/trigger_alert_binding.json,trigger_alert_id,available_in_all_cases
alert_to_all_required_artifacts_sealed_s,metadata/normalized_causal_timestamps.json,alert_observed_at_utc → case_sealed_at_utc (memory+network+disk all preserved),available_in_all_cases
alert_to_case_sealed_s,metadata/normalized_causal_timestamps.json,alert_observed_at_utc → case_sealed_at_utc (dominated by disk acquisition),available_in_all_cases
alert_to_first_artifact_sealed_s,metadata/normalized_causal_timestamps.json,alert_observed_at_utc → first_seal_at_utc,available_in_all_cases
alert_to_memory_sealed_s,metadata/normalized_causal_timestamps.json,alert_observed_at_utc → memory_preserved_at_utc,available_in_all_cases
alert_to_memory_start_s,metadata/normalized_causal_timestamps.json,alert_observed_at_utc → memory_acquisition_started_at_utc,available_in_all_cases
alert_to_profile_mapping_recorded,metadata/trigger_alert_binding.json,attack_profile_id,available_in_all_cases
ambiguous_edges,derived/reconstruction/reconstruction_metrics.json,ambiguous_edges,available_in_all_cases
analysis_layers_completed,analysis/forensic_analysis_report.json,layer_status[status=completed],available_in_all_cases
analysis_layers_expected,analysis/forensic_analysis_report.json,len(layer_status),available_in_all_cases
analysis_layers_partial,analysis/forensic_analysis_report.json,layer_status[status=partial],available_in_all_cases
analysis_layers_useful,analysis/forensic_analysis_report.json,"layer_status[status in {completed,partial}]",available_in_all_cases
artifacts_preserved_count,manifest.json,len(artifacts),available_in_all_cases
attack_completed_at,metadata/normalized_causal_timestamps.json,attack_completed_at_utc,available_in_all_cases
attack_duration_s,metadata/normalized_causal_timestamps.json,attack_started_at_utc → attack_completed_at_utc,available_in_all_cases
attack_profile_executed,metadata/trigger_alert_binding.json,attack_profile_id,available_in_all_cases
attack_profile_id,metadata/trigger_alert_binding.json,attack_profile_id,available_in_all_cases
attack_started_at,metadata/normalized_causal_timestamps.json,attack_started_at_utc,available_in_all_cases
attack_technique_recorded,metadata/trigger_alert_binding.json,signature,available_in_all_cases
attack_to_alert_s,metadata/normalized_causal_timestamps.json,attack_started_at_utc → alert_observed_at_utc,available_in_all_cases
case_id,derived/reconstruction/reconstruction_metrics.json,case_id,available_in_all_cases
case_sealed,metadata/normalized_causal_timestamps.json,case_sealed_at_utc,available_in_all_cases
case_sealed_at,metadata/normalized_causal_timestamps.json,case_sealed_at_utc,available_in_all_cases
comparison_family_match,derived across all cases,all runs comparison_family_match,not_in_existing_artifacts
cpr,derived/reconstruction/reconstruction_metrics.json,causal_path_recoverability,available_in_all_cases
cpr_stable,derived across all cases,all runs cpr_stable,available_in_all_cases
cross_layer_findings_available,analysis/forensic_analysis_report.json,layer_status.cross_layer_findings.status,available_in_all_cases
custody_chain_present,metadata/critical_evidence_gate.json,checks.custody_present,available_in_all_cases
custody_chain_verified,metadata/critical_evidence_gate.json,checks.custody_present,available_in_all_cases
degraded_edges,derived/reconstruction/reconstruction_metrics.json,degraded_edges,available_in_all_cases
deployment_time_s,metadata/workflow_phase_summary.json,pipeline_fields.deployment_time_s.value (not yet written by pipeline),stub_no_pipeline_value_yet
derived_outputs_recorded,manifest.json,len(artifacts)>30,available_in_all_cases
disk_size_gib,manifest.json,artifacts[type=disk_raw].size,available_in_all_cases
edge_state_pattern_stable,derived across all cases,all runs edge_state_pattern_stable,available_in_all_cases
effective_inventory_recorded,metadata/workflow_phase_summary.json,pipeline_fields.effective_inventory_recorded.value (not yet written by pipeline),stub_no_pipeline_value_yet
exclusion_reason,missing_from_existing_reports,missing_from_existing_reports,not_in_existing_artifacts
expected_edges,derived/reconstruction/reconstruction_metrics.json,expected_edges,available_in_all_cases
fsr_invariants_stable,derived across all cases,all runs fsr_invariants_stable,available_in_all_cases
